Subject,Release,Acquisition,Gender,Age,3T_Full_MR_Compl,7T_Full_MR_Compl,MEG_FullProt_Compl
100004,S900,Q06,M,22-25,false,false,false
100206,S900,Q11,M,26-30,true,false,false
100307,Q1,Q01,F,26-30,true,false,false
100408,Q3,Q03,M,31-35,true,false,false
100610,S900,Q08,M,26-30,true,true,false
101006,S500,Q06,F,31-35,true,false,false
101107,S500,Q06,M,22-25,true,false,false
101208,S1200,Q12,F,31-35,false,false,false
101309,S500,Q06,M,26-30,true,false,false
101410,S500,Q06,M,26-30,false,false,false
101612,S900,Q11,F,26-30,false,false,false
101915,Q3,Q04,F,31-35,true,false,false
102008,S500,Q06,M,22-25,false,false,false
102109,S1200,Q13,M,26-30,true,false,false
102311,S500,Q06,F,26-30,true,true,false
102513,S900,Q10,M,26-30,true,false,false
102614,S1200,Q12,M,22-25,true,false,false
102715,S1200,Q12,M,26-30,true,false,false
102816,Q3,Q03,F,26-30,true,true,false
103010,S1200,Q12,M,22-25,false,false,false
103111,S500,Q06,M,26-30,true,false,false
103212,S1200,Q13,M,31-35,true,false,false
103414,Q2,Q02,F,22-25,true,false,false
103515,Q1,Q02,F,26-30,true,false,false
103818,Q1,Q01,F,31-35,true,false,false
104012,MEG2,Q07,F,26-30,true,false,true
104113,S900,Q09,M,26-30,false,false,false
104416,S900,Q09,F,31-35,true,true,false
104820,S500,Q06,F,36+,true,false,false
105014,S500,Q05,F,26-30,true,false,false
105115,Q2,Q02,M,31-35,true,false,false
105216,Q3,Q03,M,26-30,true,false,false
105620,S900,Q08,F,31-35,true,false,false
105923,MEG2,Q07,F,31-35,true,true,true
106016,Q3,Q04,F,31-35,true,false,false
106218,S900,Q09,M,26-30,false,false,false
106319,Q3,Q03,M,26-30,true,false,false
106521,S500,Q06,F,26-30,true,false,true
106824,S1200,Q13,M,22-25,true,false,false
107018,S900,Q09,F,26-30,true,false,false
107119,S900,Q07,M,36+,false,false,false
107220,S900,Q11,F,26-30,false,false,false
107321,S500,Q04,F,22-25,true,false,false
107422,S500,Q07,M,22-25,true,false,false
107523,S900,Q11,M,22-25,false,false,false
107725,S900,Q08,F,31-35,true,false,false
108020,S1200,Q12,M,22-25,true,false,false
108121,S500,Q04,F,26-30,true,false,false
108222,S900,Q07,M,31-35,true,false,false
108323,S500,Q04,F,26-30,true,true,true
108525,S500,Q05,M,22-25,true,false,false
108828,S500,Q05,M,31-35,true,false,false
109123,S500,Q06,M,31-35,true,true,true
109325,S500,Q07,M,31-35,false,false,false
109830,S900,Q08,F,31-35,true,false,false
110007,S900,Q11,F,31-35,true,false,false
110411,Q2,Q02,M,31-35,true,false,false
110613,S900,Q11,M,26-30,true,false,false
111009,S900,Q03,F,26-30,true,false,false
111211,S1200,Q12,F,26-30,true,false,false
111312,Q1,Q01,F,31-35,true,false,false
111413,S500,Q04,F,26-30,true,false,false
111514,MEG2,Q02,M,31-35,true,true,false
111716,Q3,Q04,F,31-35,true,false,false
112112,S900,Q11,M,26-30,true,false,false
112314,S900,Q11,F,26-30,true,false,false
112516,S900,Q08,F,31-35,true,false,false
112819,Q3,Q03,F,26-30,false,false,false
112920,S900,Q10,M,31-35,true,false,false
113215,Q3,Q03,F,26-30,true,false,false
113316,S1200,Q12,M,22-25,true,false,false
113417,S1200,Q12,F,26-30,false,false,false
113619,Q2,Q02,F,31-35,true,false,false
113821,S500,Q05,F,26-30,false,false,false
113922,S500,Q04,M,31-35,true,false,true
114116,S1200,Q12,F,26-30,false,false,false
114217,S900,Q08,F,26-30,true,false,false
114318,S900,Q06,F,22-25,false,false,false
114419,S500,Q07,M,31-35,true,false,false
114621,S900,Q09,M,26-30,true,false,false
114823,S900,Q07,F,31-35,true,true,false
114924,Q1,Q01,M,26-30,false,false,false
115017,S900,Q06,F,31-35,true,true,false
115219,S900,Q09,M,31-35,false,false,false
115320,Q2,Q02,F,31-35,true,false,false
115724,S1200,Q12,F,22-25,true,false,false
115825,S900,Q10,M,22-25,true,true,false
116120,Q2,Q03,F,31-35,false,false,false
116221,S900,Q08,M,22-25,false,false,false
116322,S500,Q06,F,31-35,false,false,false
116423,S1200,Q09,M,26-30,false,false,false
116524,S500,Q05,M,26-30,true,false,false
116726,S900,Q08,M,26-30,true,true,true
117021,S1200,Q12,F,26-30,true,false,false
117122,Q1,Q01,F,26-30,true,false,false
117324,Q3,Q03,F,22-25,true,false,false
117728,S1200,Q10,F,22-25,false,false,false
117930,S900,Q10,F,31-35,true,false,false
118023,S900,Q07,F,26-30,false,false,false
118124,S900,Q07,F,31-35,true,false,false
118225,S900,Q08,M,26-30,true,true,false
118528,S500,Q04,F,26-30,true,false,false
118730,Q2,Q03,M,22-25,true,false,false
118831,S1200,Q13,M,22-25,true,false,false
118932,Q1,Q02,M,26-30,true,false,false
119025,S1200,Q12,M,26-30,true,false,false
119126,S900,Q11,F,22-25,true,false,false
119732,S900,Q10,F,31-35,false,false,false
119833,Q1,Q01,F,26-30,false,false,false
120010,S1200,Q13,F,26-30,false,false,false
120111,Q3,Q03,F,26-30,true,false,false
120212,Q1,Q01,F,31-35,true,false,false
120414,S1200,Q12,F,26-30,true,false,false
120515,S500,Q04,F,26-30,true,false,false
120717,S900,Q09,F,31-35,true,false,false
120818,S1200,Q13,M,22-25,false,false,false
121315,S500,Q05,M,26-30,false,false,false
121416,S900,Q08,M,26-30,true,false,false
121618,S500,Q05,M,31-35,true,false,false
121719,S500,Q06,F,31-35,false,false,false
121820,S900,Q07,F,31-35,false,false,false
121921,S900,Q07,M,31-35,true,false,false
122317,Q3,Q04,M,31-35,true,false,false
122418,S1200,Q13,F,26-30,false,false,false
122519,S900,Q07,F,31-35,false,false,false
122620,S500,Q05,M,26-30,true,false,false
122822,S900,Q07,F,31-35,true,false,false
123117,Q2,Q03,M,26-30,true,false,false
123420,S500,Q06,F,26-30,true,false,false
123521,S900,Q10,M,22-25,true,false,false
123723,S1200,Q09,F,31-35,true,false,false
123824,S900,Q11,M,22-25,false,false,false
123925,S500,Q05,F,26-30,true,false,false
124220,S500,Q05,M,31-35,true,false,false
124321,S900,Q06,M,26-30,false,false,false
124422,Q2,Q03,F,31-35,true,false,false
124624,S900,Q09,F,26-30,true,false,false
124826,S500,Q06,F,31-35,true,false,false
125222,S1200,Q12,M,26-30,true,false,false
125424,S1200,Q11,F,31-35,true,false,false
125525,Q1,Q01,F,31-35,true,true,false
126325,Q3,Q03,F,26-30,true,false,false
126426,S1200,Q12,F,31-35,true,true,false
126628,S500,Q04,M,31-35,true,false,false
126931,Q3,Q04,F,31-35,false,true,false
127226,S1200,Q08,M,22-25,true,false,false
127327,S900,Q08,M,22-25,false,false,false
127630,S500,Q06,F,22-25,true,false,false
127731,S1200,Q09,F,31-35,false,false,false
127832,S1200,Q09,F,31-35,true,false,false
127933,Q3,Q03,M,31-35,true,false,false
128026,S900,Q10,F,26-30,true,false,false
128127,S500,Q05,F,26-30,true,false,false
128329,S500,Q06,F,31-35,false,false,false
128632,Q1,Q02,F,31-35,true,false,false
128935,S900,Q09,M,31-35,true,true,false
129028,Q2,Q03,M,26-30,true,false,false
129129,S900,Q07,F,31-35,true,false,false
129331,S900,Q09,F,26-30,true,false,false
129432,Q3,Q04,M,22-25,false,false,false
129533,Q3,Q04,F,31-35,false,false,false
129634,S900,Q11,M,22-25,true,false,false
129937,S900,Q11,F,26-30,false,false,false
130013,Q1,Q01,M,26-30,true,false,false
130114,S1200,Q08,M,26-30,true,true,false
130316,Q3,Q03,F,26-30,true,false,false
130417,S900,Q07,M,26-30,true,false,false
130518,S1200,Q07,F,31-35,true,true,false
130619,S900,Q10,F,26-30,true,false,false
130720,S1200,Q13,M,31-35,true,false,false
130821,S900,Q10,F,22-25,true,false,false
130922,Q3,Q03,F,31-35,false,false,false
131217,S500,Q06,F,26-30,true,true,false
131419,S900,Q09,F,26-30,true,false,false
131621,Q1,Q02,F,26-30,false,false,false
131722,S500,Q06,F,26-30,true,true,false
131823,S900,Q11,M,26-30,true,false,false
131924,Q3,Q03,M,22-25,true,false,false
132017,S900,Q08,F,22-25,true,false,false
132118,S500,Q04,F,26-30,false,true,false
132320,S900,Q05,F,26-30,false,false,false
133019,S500,Q06,F,26-30,true,false,true
133221,S900,Q07,M,26-30,false,false,false
133625,Q3,Q03,M,26-30,true,false,false
133726,S900,Q11,F,31-35,false,false,false
133827,Q2,Q02,M,22-25,true,false,false
133928,Q2,Q03,M,26-30,true,false,false
134021,S900,Q10,F,31-35,true,false,false
134223,S900,Q11,F,26-30,true,false,false
134324,Q2,Q03,M,26-30,false,false,false
134425,S900,Q07,F,26-30,true,false,false
134627,S1200,Q09,M,26-30,false,true,false
134728,S900,Q08,M,26-30,true,false,false
134829,S900,Q11,F,31-35,true,true,false
135124,S1200,Q13,F,31-35,true,true,false
135225,S500,Q06,F,22-25,true,false,false
135427,S900,Q07,M,22-25,false,false,false
135528,S500,Q05,F,26-30,true,false,false
135629,S1200,Q12,M,22-25,true,false,false
135730,S900,Q09,M,22-25,true,false,false
135932,Q2,Q02,F,26-30,true,false,false
136126,S1200,Q09,M,26-30,false,false,false
136227,S500,Q07,M,31-35,true,false,false
136328,S1200,Q12,M,26-30,false,false,false
136530,S1200,Q13,M,31-35,false,false,false
136631,S1200,Q09,M,22-25,true,false,false
136732,S900,Q07,F,31-35,true,false,false
136833,Q2,Q02,M,31-35,true,false,false
137027,S500,Q05,M,31-35,false,false,false
137128,Q1,Q02,F,31-35,false,true,false
137229,S900,Q10,M,22-25,true,false,false
137431,S1200,Q13,F,31-35,false,false,false
137532,S1200,Q12,M,31-35,true,false,false
137633,S500,Q06,F,22-25,true,false,false
137936,S500,Q05,M,31-35,false,false,false
138130,S1200,Q09,F,31-35,true,false,false
138231,Q1,Q01,F,31-35,true,false,false
138332,S1200,Q13,M,26-30,true,false,false
138534,Q3,Q03,M,22-25,true,false,false
138837,S900,Q11,M,22-25,true,false,false
139233,S500,Q04,F,31-35,true,false,false
139435,S1200,Q13,F,26-30,true,false,false
139637,Q2,Q03,F,31-35,true,false,false
139839,S900,Q07,M,26-30,true,false,false
140117,S500,Q04,F,26-30,true,true,true
140319,S900,Q08,F,36+,true,false,false
140420,Q2,Q02,F,26-30,false,false,false
140723,S900,Q07,M,31-35,false,false,false
140824,Q3,Q04,M,31-35,true,false,false
140925,S500,Q04,F,22-25,true,false,false
141119,S900,Q09,M,26-30,true,false,false
141422,S500,Q06,F,31-35,true,false,false
141624,S900,Q05,F,22-25,false,false,false
141826,S500,Q04,F,26-30,true,false,false
142424,Q3,Q03,M,26-30,false,false,false
142828,Q1,Q01,M,31-35,false,false,false
143224,S1200,Q12,F,26-30,true,false,false
143325,Q1,Q01,F,31-35,true,false,false
143426,S900,Q11,F,26-30,false,false,false
143527,Q3,Q04,M,26-30,false,false,false
143830,S1200,Q06,F,26-30,true,false,false
144125,S900,Q12,F,31-35,true,false,false
144226,Q1,Q01,F,31-35,false,true,false
144428,S900,Q02,M,22-25,true,false,false
144731,S900,Q10,F,26-30,true,false,false
144832,S500,Q06,F,22-25,true,false,false
144933,S1200,Q12,M,26-30,true,false,false
145127,S900,Q08,M,22-25,true,false,false
145531,S500,Q05,M,31-35,false,false,false
145632,S1200,Q08,M,26-30,true,false,false
145834,S500,Q06,F,26-30,true,true,false
146129,MEG2,Q08,M,22-25,true,true,false
146331,S500,Q05,F,26-30,true,false,false
146432,S500,Q06,M,31-35,true,true,false
146533,S900,Q12,M,26-30,true,false,false
146634,S900,Q04,F,26-30,false,false,false
146735,S1200,Q12,F,31-35,true,true,false
146836,S1200,Q11,M,26-30,true,false,false
146937,S900,Q08,F,31-35,true,true,false
147030,S500,Q05,M,26-30,true,false,false
147636,S1200,Q10,F,22-25,true,false,false
147737,S500,Q06,F,31-35,true,false,false
148032,Q3,Q03,F,31-35,true,false,false
148133,S900,Q10,F,26-30,true,true,false
148234,S900,Q03,F,26-30,false,false,false
148335,Q3,Q04,F,31-35,true,false,false
148436,S900,Q08,M,26-30,false,false,false
148840,S500,Q04,F,22-25,true,false,false
148941,S500,Q07,M,26-30,true,false,false
149236,S900,Q08,F,22-25,true,false,false
149337,Q1,Q02,M,31-35,true,false,false
149539,Q2,Q02,M,22-25,true,false,false
149741,S500,Q05,M,26-30,true,false,true
149842,S900,Q10,F,31-35,true,false,false
150019,S900,Q12,M,26-30,false,false,false
150423,Q1,Q01,F,26-30,false,true,false
150524,Q3,Q03,F,26-30,false,false,false
150625,S500,Q04,M,26-30,true,false,false
150726,S500,Q05,M,22-25,true,false,false
150928,S900,Q11,M,22-25,true,false,false
151021,S1200,Q09,M,31-35,false,false,false
151223,Q2,Q02,F,26-30,true,false,false
151324,S1200,Q09,M,22-25,true,false,false
151425,S900,Q09,F,26-30,true,false,false
151526,Q3,Q03,M,26-30,true,false,false
151627,Q2,Q02,F,26-30,true,false,false
151728,S500,Q04,M,31-35,true,false,false
151829,S900,Q10,F,31-35,true,false,false
151930,S1200,Q12,M,31-35,true,false,false
152225,S1200,Q10,M,31-35,true,false,false
152427,S1200,Q13,F,31-35,true,false,false
152831,S500,Q06,M,26-30,true,false,false
152932,S900,Q03,F,22-25,false,false,false
153025,Q3,Q04,F,22-25,true,false,false
153126,S1200,Q13,F,26-30,true,false,false
153227,S900,Q12,F,31-35,true,false,false
153429,Q1,Q02,M,31-35,true,false,false
153631,S900,Q10,F,22-25,false,false,false
153732,MEG2,Q07,F,26-30,false,false,false
153833,S500,Q06,F,22-25,false,false,false
153934,S1200,Q12,M,26-30,false,false,false
154229,S900,Q10,F,22-25,true,false,false
154330,S1200,Q04,M,26-30,false,false,false
154431,Q3,Q03,F,26-30,true,false,false
154532,S900,Q09,M,26-30,true,false,false
154734,S500,Q06,M,31-35,true,false,false
154835,S500,Q07,F,31-35,true,false,false
154936,S500,Q04,M,26-30,true,false,false
155231,S500,Q06,F,31-35,false,false,false
155635,S500,Q04,F,26-30,true,false,false
155938,S900,Q08,M,26-30,true,true,false
156031,S900,Q11,F,26-30,true,false,false
156233,Q3,Q03,F,22-25,true,false,false
156334,MEG2,Q03,F,26-30,true,true,true
156435,S900,Q11,M,22-25,true,false,false
156536,S900,Q12,M,22-25,true,false,false
156637,Q1,Q01,M,31-35,true,false,false
157235,S900,Q09,M,31-35,false,false,false
157336,Q2,Q02,F,31-35,true,true,false
157437,S500,Q04,F,26-30,true,false,false
157942,S900,Q07,F,36+,true,false,false
158035,Q2,Q02,F,26-30,true,true,false
158136,S500,Q04,M,31-35,true,true,false
158338,S900,Q08,M,22-25,true,false,false
158540,Q2,Q02,M,31-35,true,false,false
158843,S900,Q08,M,26-30,true,false,false
159138,S500,Q04,M,31-35,true,false,false
159239,Q1,Q01,F,31-35,true,true,false
159340,Q3,Q04,M,26-30,true,false,false
159441,S500,Q06,F,26-30,true,false,false
159744,S900,Q11,M,31-35,true,false,false
159845,S900,Q11,F,31-35,false,false,false
159946,S900,Q07,M,26-30,false,false,false
160123,Q3,Q03,M,31-35,true,false,false
160729,S900,Q08,F,22-25,false,false,false
160830,S500,Q06,F,26-30,true,false,false
160931,S900,Q08,F,31-35,false,false,false
161327,Q3,Q03,F,26-30,true,false,false
161630,S500,Q04,F,26-30,true,false,false
161731,Q1,Q01,F,31-35,true,false,false
161832,S1200,Q12,M,26-30,true,false,false
162026,S500,Q06,F,31-35,true,false,true
162228,S500,Q07,M,22-25,true,false,false
162329,Q1,Q01,F,26-30,true,false,false
162733,Q3,Q04,F,26-30,true,false,false
162834,S900,Q09,F,26-30,false,false,false
162935,S900,Q09,M,22-25,true,true,true
163129,Q3,Q04,M,26-30,true,false,false
163331,S500,Q06,M,31-35,true,false,false
163432,Q2,Q02,F,31-35,false,false,false
163836,S500,Q06,F,31-35,true,false,false
164030,S500,Q05,M,31-35,true,false,false
164131,S500,Q04,M,26-30,true,true,false
164636,S900,Q09,M,22-25,true,true,true
164939,S500,Q06,F,26-30,true,false,false
165032,S500,Q05,M,22-25,false,false,false
165234,Q3,Q03,F,22-25,false,false,false
165436,S1200,Q12,M,26-30,true,true,false
165638,S900,Q07,M,26-30,true,false,false
165840,Q3,Q03,M,31-35,false,false,false
165941,S1200,Q09,F,26-30,true,false,false
166438,S500,Q04,M,31-35,true,false,false
166640,S900,Q10,M,22-25,false,false,false
167036,S500,Q04,F,26-30,true,true,false
167238,S900,Q08,F,31-35,true,false,false
167440,S1200,Q13,F,26-30,true,true,false
167743,Q1,Q01,F,26-30,false,false,false
168038,S900,Q08,M,26-30,false,false,false
168139,S500,Q07,M,22-25,true,false,false
168240,S900,Q08,M,26-30,true,false,false
168341,S500,Q05,M,31-35,true,false,false
168745,S900,Q11,F,22-25,true,false,false
168947,S1200,Q12,F,26-30,true,false,false
169040,S900,Q08,M,22-25,true,true,true
169141,Q3,Q03,M,22-25,false,false,false
169343,Q2,Q02,F,31-35,false,true,false
169444,S500,Q06,F,26-30,true,true,false
169545,S1200,Q13,M,22-25,true,false,false
169747,S900,Q10,F,26-30,false,true,false
169949,S900,Q11,M,26-30,true,false,false
170631,S900,Q04,F,31-35,true,false,false
170934,S500,Q06,F,26-30,false,false,false
171128,S1200,Q13,F,36+,false,false,false
171330,S900,Q09,M,26-30,true,false,false
171431,S500,Q06,F,26-30,false,false,false
171532,S900,Q08,F,31-35,true,false,false
171633,S500,Q05,M,26-30,true,true,false
171734,S1200,Q13,F,26-30,false,false,false
172029,S500,Q06,M,26-30,true,false,false
172130,S500,Q05,M,26-30,true,true,false
172332,Q1,Q02,F,26-30,true,false,false
172433,S900,Q11,M,22-25,true,false,false
172534,S500,Q04,F,22-25,true,false,false
172635,S1200,Q12,M,31-35,false,false,false
172938,S500,Q04,F,31-35,true,false,false
173132,S500,Q06,M,31-35,false,false,false
173233,S900,Q07,M,26-30,false,false,false
173334,S500,Q04,M,26-30,true,true,false
173435,S500,Q05,F,26-30,true,false,false
173536,S500,Q06,F,31-35,true,false,false
173637,S900,Q09,F,22-25,true,false,false
